product_id,name,link,regular_price,promo_price,brand
262166,"Социальный товар Яйца куриные С0, 30 шт",https://www.auchan.ru/product/kd-yayco-kurinoe-so-30-sht/,0.0,228.60000610351562,
18410,"Молоко ультрапастеризованное «Каждый день» 3,2%  БЗМЖ, 970 мл",https://www.auchan.ru/product/kdmoloko_ultrapas_32_970ml/,0.0,58.98,
701021,"Творог «Искренне Ваш» пергамент 9% БЗМЖ, 180 г",https://www.auchan.ru/product/tvorog-iskrenne-vash-pergament-9-180g/,0.0,107.99,
970911,"Масло сливочное АШАН Красная птица 82,5% БЗМЖ, 200 г",https://www.auchan.ru/product/kp-maslo-sliv-82-5-200g-bzmzh/,159.99000549316406,139.99000549316406,
944129,"Майонез оливковый «Слобода» 67%, 800 мл",https://www.auchan.ru/product/mayonez-sloboda-olivkovyy-67-800-ml/,203.99000549316406,149.89999389648438,
666761,"Сметана «Домик в деревне» 20%, 300 г",https://www.auchan.ru/product/smetana-domik-v-derevne-20-300g/,89.49,79.9,
971983,"Продукт молокосодержащий сгущенный «Эрконпродукт» с сахаром 8,5% БЗМЖ, 1,02 л",https://www.auchan.ru/product/sgushchenka-pet-1-02-kg/,0.0,178.99,
275675,"Кефир EkoNiva 3,2% БЗМЖ, 1 л",https://www.auchan.ru/product/kefir-ekoniva-3-2-1-l/,0.0,112.99,
271258,"Социальный товар Яйца куриные С0, 10 шт",https://www.auchan.ru/product/kd-yayco-kurinoe-so-10-sht/,0.0,76.97000122070312,
957562,"Сливки АШАН Красная птица 10% БЗМЖ, 500 мл",https://www.auchan.ru/product/slivki-krasnaya-ptica-10-500ml/,0.0,99.98999786376953,
330626,"Йогурт «Савушкин» Греческий Teos натуральный 2%, 140 г",https://www.auchan.ru/product/yogurt-savushkin-grecheskiy-naturalnyy-2-140-g/,0.0,45.49,
606429,"Йогурт густой «Даниссимо» с хрустящими шариками 6,9%, 105 г",https://www.auchan.ru/product/yogurt-danissimo-gustoy-hrustyashchie-shariki-6-9-105g/,68.48999786376953,57.900001525878906,
